id,model,year_of_manufacture,mileage,count_trip,last_maintenance_date,to
25572,Hyundai Solaris,2020,279728,567884,2024-05-27,0
25573,LADA (VAZ) Vesta,2020,293028,581176,2024-07-22,0
25574,Hyundai Accent,2023,54719,123700,2024-11-22,0
25575,Nissan Note,2022,157630,291734,2024-03-02,0
25576,Chevrolet Lacetti,2024,6892,17950,2024-07-12,0
25577,Hyundai Solaris,2022,147696,201386,2024-03-12,0
25578,Geely Tugella,2023,79531,104437,2024-05-15,0
25579,Chevrolet Aveo,2016,252550,506365,2024-12-05,0
25580,Chevrolet Aveo,2015,335165,677305,2024-10-26,0
25581,Chery Tiggo 7 Pro,2024,2686,23133,2024-02-04,0
25582,Chevrolet Lacetti,2021,169500,425412,2024-02-05,0
25583,Nissan Note,2014,280310,586490,2024-07-13,0
25584,Geely Tugella,2015,282100,624360,2024-12-13,0
25585,Geely Tugella,2021,238785,339591,2024-06-22,0
25586,EXEED TXL,2015,356830,729205,2024-12-06,0
25587,Haval F7,2021,201066,422946,2024-07-04,0
25588,Chevrolet Aveo,2024,15181,13615,2024-08-15,0
25589,Renault Logan,2020,219708,530508,2024-12-09,0
25590,Kia Rio,2020,298288,424104,2023-12-19,0
25591,Chery Tiggo 4,2016,298015,740945,2024-12-02,0
25592,Kia Rio,2023,77999,112412,2024-06-08,0
25593,Haval F7,2024,16890,28702,2024-08-09,0
25594,Geely Tugella,2023,70319,125562,2024-11-20,0
25595,Kia Rio,2023,65039,137949,2024-01-11,0
25596,Chery Tiggo 7 Pro,2023,58463,139726,2024-01-30,0
25597,Renault Logan,2014,394915,636320,2024-09-02,0
25598,KIA Spectra,2022,141042,245488,2024-02-18,0
25599,Nissan Note,2023,69169,106468,2024-09-25,0
25600,Renault Logan,2015,384240,502005,2024-08-07,0
25601,EXEED TXL,2023,71133,122478,2024-05-12,0
25602,Chery Tiggo 7 Pro,2021,230094,364806,2024-04-21,0
25603,Renault Logan,2020,274744,479304,2024-11-14,0
25604,Chery Tiggo 7 Pro,2021,215343,403806,2024-10-31,0
25605,LADA (VAZ) Vesta,2022,122406,244758,2024-09-01,0
25606,Hyundai Accent,2019,276670,576215,2024-09-19,0
25607,LADA (VAZ) Vesta,2020,260688,533972,2024-12-08,0
25608,Hyundai Accent,2021,221343,373290,2024-06-13,0
25609,Chevrolet Aveo,2023,68090,105211,2024-11-14,0
25610,Chery Tiggo 4,2023,55281,140990,2024-02-16,0
25611,Hyundai Solaris,2014,334245,575445,2024-07-27,0
25612,Kia Rio,2022,147272,262008,2024-06-01,0
25613,KIA Spectra,2022,154444,250762,2024-04-02,0
25614,KIA Spectra,2013,310415,678095,2024-09-13,0
25615,Kia Rio,2023,64216,141391,2024-05-30,0
25616,Hyundai Accent,2017,289965,632360,2024-09-02,0
25617,EXEED TXL,2020,300640,533708,2024-11-11,0
25618,LADA (VAZ) Vesta,2014,253330,712150,2024-10-25,0
25619,Hyundai Accent,2016,303510,742175,2024-07-27,0
25620,Chevrolet Lacetti,2024,1652,3370,2024-09-09,0
25621,Haval F7,2024,13945,20995,2024-04-19,0
25622,Renault Logan,2024,18297,14161,2024-10-04,0
25623,LADA (VAZ) Vesta,2024,5047,7685,2024-10-04,0
25624,Geely Tugella,2022,147770,276338,2024-09-08,0
25625,KIA Spectra,2022,138894,200612,2024-01-05,0
25626,Chery Tiggo 4,2016,346860,535400,2024-09-27,0
25627,Volkswagen Polo,2017,351760,611725,2024-08-10,0
25628,Hyundai Solaris,2023,70808,143392,2024-10-12,0
25629,Haval F7,2020,262820,440784,2024-05-31,0
25630,Volkswagen Polo,2017,337150,542265,2024-07-07,0
25631,Geely Tugella,2023,79724,114331,2024-11-19,0
25632,Haval F7,2015,371705,616035,2024-08-17,0
25633,Hyundai Accent,2022,158656,279148,2024-06-22,0
25634,EXEED TXL,2023,69198,122743,2024-11-23,0
25635,Chevrolet Aveo,2021,165930,329193,2024-11-13,0
25636,Hyundai Accent,2016,274565,527375,2024-06-26,0
25637,Haval F7,2015,343690,593545,2024-09-23,0
25638,Volkswagen Polo,2024,7653,24087,2024-03-12,0
25639,LADA (VAZ) Vesta,2020,229208,553496,2024-10-04,0
25640,Chevrolet Lacetti,2021,237453,347850,2024-08-30,0
25641,EXEED TXL,2024,7104,22996,2024-04-11,0
25642,Chery Tiggo 7 Pro,2022,125948,226536,2024-10-20,0
25643,Nissan Note,2014,282955,540465,2024-09-30,0
25644,Hyundai Accent,2022,121250,298992,2024-07-26,0
25645,Chery Tiggo 4,2016,374035,692555,2024-07-26,0
25646,Chery Tiggo 7 Pro,2024,13686,7503,2024-05-15,0
25647,Chery Tiggo 7 Pro,2021,174039,326145,2024-03-22,0
25648,Chevrolet Lacetti,2024,5463,1847,2024-06-02,0
25649,LADA (VAZ) Vesta,2020,249632,435972,2024-07-10,0
25650,Geely Tugella,2015,329640,619545,2024-08-28,0
25651,EXEED TXL,2019,383020,579530,2024-10-26,0
25652,Nissan Note,2016,270665,723790,2024-07-12,0
25653,Volkswagen Polo,2020,267284,491424,2024-08-24,0
25654,LADA (VAZ) Vesta,2014,300425,506165,2024-07-10,0
25655,Volkswagen Polo,2021,213030,407817,2024-05-28,0
25656,Volkswagen Polo,2023,60345,146788,2024-06-14,0
25657,Nissan Note,2022,111784,260076,2024-07-22,0
25658,Chery Tiggo 4,2023,53032,135054,2024-04-18,0
25659,LADA (VAZ) Vesta,2024,10922,23371,2024-07-07,0
25660,Chery Tiggo 4,2022,141138,229750,2024-07-21,0
25661,Geely Tugella,2023,50538,121976,2024-06-10,0
25662,Kia Rio,2015,308300,630445,2024-08-30,0
25663,Chevrolet Lacetti,2024,16597,13033,2024-01-06,0
25664,KIA Spectra,2024,23697,19603,2024-01-23,0
25665,Hyundai Solaris,2013,276920,516960,2024-07-23,0
25666,Hyundai Solaris,2020,202140,586888,2024-10-16,0
25667,Renault Logan,2018,265000,619845,2024-11-30,0
25668,Kia Rio,2022,113764,212574,2024-06-23,0
25669,EXEED TXL,2022,138992,255632,2024-08-31,0
25670,Chevrolet Aveo,2019,257425,650255,2024-11-29,0
25671,Chery Tiggo 4,2016,346945,743820,2024-10-27,0
25672,Renault Logan,2024,22888,16762,2024-11-17,0
25673,Haval F7,2024,14308,10922,2024-03-17,0
25674,Haval F7,2024,26794,12482,2024-07-09,0
25675,Chevrolet Lacetti,2020,299048,409740,2024-11-01,0
25676,Renault Logan,2018,260455,529935,2024-09-30,0
25677,Chevrolet Aveo,2017,296830,724775,2024-09-01,0
25678,EXEED TXL,2020,202636,467208,2024-09-03,0
25679,Nissan Note,2014,343360,533170,2024-11-14,0
25680,Chery Tiggo 4,2021,183282,407310,2024-07-20,0
25681,KIA Spectra,2018,288010,655730,2024-09-30,0
25682,Chery Tiggo 4,2022,142732,231296,2024-10-13,0
25683,Hyundai Accent,2019,256035,671505,2024-08-22,0
25684,Haval F7,2023,54567,145387,2024-11-21,0
25685,Chery Tiggo 7 Pro,2016,277495,531390,2024-09-06,0
25686,Haval F7,2021,225426,302496,2024-09-16,0
25687,KIA Spectra,2013,266675,657825,2024-07-18,0
25688,Hyundai Solaris,2021,215205,358275,2024-12-04,0
25689,Haval F7,2024,10078,4853,2024-10-24,0
25690,Nissan Note,2015,291400,633100,2024-10-16,0
25691,Renault Logan,2016,343660,692190,2024-11-13,0
25692,Chevrolet Lacetti,2018,399890,504105,2024-09-25,0
25693,Volkswagen Polo,2015,264905,596955,2024-07-15,0
25694,Chevrolet Aveo,2024,29891,15289,2024-03-26,0
25695,EXEED TXL,2020,305460,456456,2023-12-26,0
25696,EXEED TXL,2019,271905,642165,2024-08-23,0
25697,Renault Logan,2022,155640,232360,2023-12-25,0
25698,Nissan Note,2019,276685,588185,2024-09-12,0
25699,Chery Tiggo 7 Pro,2019,276220,546525,2024-10-14,0
25700,Hyundai Accent,2021,203958,412722,2024-06-05,0
25701,Haval F7,2018,315310,695660,2024-07-19,0
25702,Hyundai Solaris,2018,383685,653660,2024-08-06,0
25703,Renault Logan,2024,11447,13753,2024-05-16,0
25704,Geely Tugella,2024,24964,16411,2023-12-20,0
25705,Volkswagen Polo,2017,389475,590115,2024-10-04,0
25706,Chery Tiggo 7 Pro,2024,5021,3280,2024-05-11,0
25707,Hyundai Solaris,2023,68994,121455,2024-02-04,0
25708,Chery Tiggo 7 Pro,2015,255440,590760,2024-07-05,0
25709,Hyundai Accent,2022,156948,213542,2024-02-10,0
25710,Chevrolet Aveo,2017,329190,545575,2024-12-10,0
25711,LADA (VAZ) Vesta,2022,113832,272984,2024-10-14,0
25712,Nissan Note,2024,14429,20454,2024-11-30,0
25713,Renault Logan,2022,116944,277464,2024-04-25,0
25714,LADA (VAZ) Vesta,2016,292800,652710,2024-08-08,0
25715,Hyundai Solaris,2018,300505,723875,2024-10-02,0
25716,Hyundai Solaris,2019,376775,533380,2024-09-12,0
25717,Chery Tiggo 7 Pro,2017,349505,632960,2024-09-16,0
25718,Chevrolet Lacetti,2022,117208,211082,2024-12-16,0
25719,LADA (VAZ) Vesta,2024,28695,22859,2024-08-14,0
25720,EXEED TXL,2019,350745,510370,2024-09-10,0
25721,Chevrolet Aveo,2022,148362,275982,2024-12-06,0
25722,Geely Tugella,2017,329620,595980,2024-11-16,0
25723,Kia Rio,2024,1622,29579,2024-04-28,0
25724,Haval F7,2022,139524,216738,2024-05-20,0
25725,LADA (VAZ) Vesta,2020,257196,591056,2024-06-15,0
25726,KIA Spectra,2023,63379,141509,2024-05-17,0
25727,Hyundai Accent,2020,271660,502772,2024-08-30,0
25728,Kia Rio,2021,233523,355989,2024-09-08,0
25729,Chevrolet Lacetti,2018,333955,710930,2024-08-05,0
25730,Nissan Note,2017,347905,734555,2024-09-03,0
25731,EXEED TXL,2020,278096,485980,2024-12-12,0
25732,Volkswagen Polo,2024,18543,15745,2024-09-03,0
25733,KIA Spectra,2021,180480,432663,2024-01-21,0
25734,KIA Spectra,2019,342180,544165,2024-09-16,0
25735,KIA Spectra,2016,261685,584615,2024-09-25,0
25736,Volkswagen Polo,2016,385730,640285,2024-10-12,0
25737,Chery Tiggo 7 Pro,2024,19171,26350,2024-01-25,0
25738,Chery Tiggo 4,2024,29202,8980,2024-07-06,0
25739,Chery Tiggo 4,2021,203589,363438,2024-06-01,0
25740,Kia Rio,2018,347745,692215,2024-09-05,0
25741,EXEED TXL,2017,272345,558850,2024-07-18,0
25742,Chery Tiggo 7 Pro,2022,127874,268984,2024-07-18,0
25743,Geely Tugella,2023,66967,139554,2024-07-27,0
25744,Renault Logan,2016,370865,549820,2024-12-10,0
25745,Chery Tiggo 4,2024,12837,6643,2024-10-04,0
25746,Chevrolet Aveo,2017,366690,661770,2024-08-10,0
25747,Chevrolet Aveo,2017,262405,556660,2024-11-09,0
25748,Hyundai Solaris,2024,22184,13368,2024-01-31,0
25749,EXEED TXL,2018,342095,697275,2024-07-09,0
25750,Renault Logan,2014,309760,506745,2024-11-23,0
25751,Hyundai Accent,2017,314570,717060,2024-12-14,0
25752,EXEED TXL,2020,258712,425436,2024-04-13,0
25753,Chevrolet Lacetti,2024,12093,26794,2024-05-03,0
25754,Chevrolet Lacetti,2024,23958,16514,2024-11-13,0
25755,Nissan Note,2021,192105,417732,2024-12-07,0
25756,Geely Tugella,2015,251460,622675,2024-10-17,0
25757,Hyundai Solaris,2017,360385,617430,2024-09-10,0
25758,KIA Spectra,2020,201368,535608,2024-09-12,0
25759,Geely Tugella,2018,320185,597340,2024-08-13,0
25760,Kia Rio,2020,315204,488904,2024-04-06,0
25761,Haval F7,2018,303495,688795,2024-08-24,0
25762,Geely Tugella,2023,72224,101348,2024-06-26,0
25763,Hyundai Accent,2020,298768,497800,2024-04-02,0
25764,Haval F7,2021,225327,371301,2024-08-17,0
25765,EXEED TXL,2013,313580,579990,2024-10-04,0
25766,Haval F7,2021,218175,448434,2024-01-11,0
25767,Renault Logan,2023,76150,137145,2024-05-18,0
25768,Chevrolet Lacetti,2024,14893,29022,2024-01-13,0
25769,Chery Tiggo 7 Pro,2022,110692,288596,2024-11-02,0
25770,LADA (VAZ) Vesta,2023,55867,131632,2024-05-11,0
25771,Chery Tiggo 4,2021,160452,306873,2024-08-04,0
25772,Renault Logan,2020,212012,430880,2024-05-14,0
25773,Chery Tiggo 4,2024,25697,17134,2024-07-09,0
25774,KIA Spectra,2018,375840,624370,2024-08-10,0
25775,LADA (VAZ) Vesta,2020,291724,481640,2024-12-07,0
25776,Kia Rio,2022,103358,239502,2024-10-28,0
25777,Hyundai Accent,2021,226245,402519,2024-02-05,0
25778,Hyundai Solaris,2017,299760,504430,2024-09-26,0
25779,Hyundai Accent,2024,4285,4560,2024-09-15,0
25780,Chery Tiggo 4,2022,141724,292268,2024-11-22,0
25781,Renault Logan,2020,310808,559032,2024-02-27,0
25782,Volkswagen Polo,2024,3987,6000,2024-03-02,0
25783,Hyundai Accent,2023,58816,134066,2024-11-27,0
25784,Chery Tiggo 4,2020,223512,406804,2024-05-25,0
25785,Nissan Note,2020,248140,541472,2024-04-12,0
25786,Chery Tiggo 4,2017,329740,724080,2024-10-29,0
25787,Volkswagen Polo,2016,297005,549150,2024-10-18,0
25788,Chery Tiggo 4,2024,25428,17690,2024-10-03,0
25789,Hyundai Accent,2022,150204,299190,2024-10-16,0
25790,Volkswagen Polo,2013,399260,527910,2024-07-13,0
25791,Haval F7,2017,285800,707295,2024-12-10,0
25792,Hyundai Accent,2021,236073,386031,2024-10-10,0
25793,KIA Spectra,2023,70986,139934,2024-02-07,0
25794,Renault Logan,2022,111378,272684,2024-08-23,0
25795,LADA (VAZ) Vesta,2019,322700,684365,2024-12-15,0
25796,EXEED TXL,2024,5667,4324,2024-08-20,0
25797,Volkswagen Polo,2015,265390,569650,2024-10-01,0
25798,Chevrolet Lacetti,2024,28487,12112,2024-08-15,0
25799,KIA Spectra,2022,151938,242312,2024-11-20,0
25800,Hyundai Solaris,2021,158583,380937,2024-09-02,0
25801,EXEED TXL,2024,3578,26630,2024-11-18,0
25802,Renault Logan,2016,300715,683785,2024-08-31,0
25803,Chery Tiggo 7 Pro,2021,185139,349233,2024-04-09,0
25804,Chery Tiggo 7 Pro,2020,243500,562236,2024-08-14,0
25805,Chery Tiggo 7 Pro,2024,12219,15977,2024-10-11,0
25806,Kia Rio,2013,337355,572045,2024-10-28,0
25807,Renault Logan,2024,29476,8448,2024-09-15,0
25808,Kia Rio,2023,54224,102557,2024-03-31,0
25809,LADA (VAZ) Vesta,2016,366940,702135,2024-10-06,0
25810,Chevrolet Aveo,2013,318725,565465,2024-10-08,0
25811,Volkswagen Polo,2020,302348,500032,2024-01-13,0
25812,EXEED TXL,2022,113770,211918,2024-03-12,0
25813,Hyundai Solaris,2024,5105,12656,2024-04-19,0
25814,EXEED TXL,2024,22490,5434,2024-04-09,0
25815,Geely Tugella,2023,63964,137591,2024-11-21,0
25816,Chery Tiggo 7 Pro,2023,54878,108027,2024-02-24,0
25817,Chery Tiggo 4,2015,262640,702740,2024-11-02,0
25818,Hyundai Solaris,2018,257650,648610,2024-07-24,0
25819,Chery Tiggo 7 Pro,2020,266192,402384,2024-06-10,0
25820,Geely Tugella,2023,55366,101364,2023-12-31,0
25821,Chevrolet Aveo,2023,74443,118577,2024-11-12,0
25822,Volkswagen Polo,2019,310520,512815,2024-06-28,0
25823,Volkswagen Polo,2019,300185,720415,2024-10-27,0
25824,KIA Spectra,2021,199236,339783,2024-03-27,0
25825,Hyundai Accent,2021,189834,391089,2024-08-06,0
25826,Nissan Note,2024,13463,13870,2024-09-20,0
25827,Hyundai Accent,2020,223132,563664,2024-01-01,0
25828,Haval F7,2021,167298,343347,2023-12-21,0
25829,Hyundai Solaris,2016,346560,656175,2024-09-18,0
25830,Hyundai Solaris,2024,4990,16543,2024-06-14,0
25831,Nissan Note,2019,352255,507170,2024-09-11,0
25832,Hyundai Accent,2020,247444,433808,2024-03-19,0
25833,Renault Logan,2020,306932,527256,2024-07-08,0
25834,Kia Rio,2024,9606,20422,2024-09-09,0
25835,Nissan Note,2022,134112,288184,2024-01-08,0
25836,Renault Logan,2024,4650,24416,2024-05-29,0
25837,Chevrolet Aveo,2016,305565,576890,2024-11-28,0
25838,Renault Logan,2016,399890,538400,2024-08-03,0
25839,Haval F7,2020,229488,414196,2024-05-18,0
25840,KIA Spectra,2020,216668,463336,2024-07-23,0
25841,KIA Spectra,2015,342045,678895,2024-07-03,0
25842,Chery Tiggo 7 Pro,2019,349740,530275,2024-10-29,0
25843,Hyundai Solaris,2024,16821,23168,2024-10-28,0
25844,Hyundai Solaris,2014,318430,660735,2024-12-02,0
25845,KIA Spectra,2016,374170,695640,2024-09-13,0
25846,KIA Spectra,2021,154089,413928,2024-07-19,0
25847,Chery Tiggo 4,2017,310995,687895,2024-11-28,0
25848,Kia Rio,2018,343030,601130,2024-07-10,0
25849,Chevrolet Aveo,2021,180864,403335,2024-09-05,0
25850,Hyundai Solaris,2020,220884,505956,2024-05-26,0
25851,Chevrolet Lacetti,2014,291115,539170,2024-08-29,0
25852,Haval F7,2015,312875,676170,2024-09-23,0
25853,Geely Tugella,2022,118238,224756,2024-04-06,0
25854,Chery Tiggo 7 Pro,2023,78107,106682,2024-05-26,0
25855,Volkswagen Polo,2015,329965,575050,2024-09-30,0
25856,Chery Tiggo 4,2023,69335,134885,2024-04-16,0
25857,Geely Tugella,2022,156428,256458,2024-10-31,0
25858,EXEED TXL,2023,55731,137636,2024-10-12,0
25859,Chevrolet Aveo,2013,347275,524665,2024-08-30,0
25860,LADA (VAZ) Vesta,2022,122982,238336,2024-04-20,0
25861,Chery Tiggo 7 Pro,2019,340480,600215,2024-07-24,0
25862,Geely Tugella,2024,15935,6339,2024-07-28,0
25863,Chery Tiggo 4,2019,263430,708060,2024-10-23,0
25864,Nissan Note,2024,13924,25220,2024-10-04,0
25865,Nissan Note,2024,23476,5794,2024-08-06,0
25866,Haval F7,2016,274550,602980,2024-10-16,0
25867,Hyundai Accent,2020,267552,442668,2024-02-16,0
25868,Hyundai Accent,2021,172509,363492,2024-05-19,0
25869,Chevrolet Aveo,2018,268555,636205,2024-10-02,0
25870,EXEED TXL,2024,14573,8486,2024-01-02,0
25871,Chevrolet Aveo,2021,220665,396102,2024-05-13,0
25872,Hyundai Solaris,2013,293240,513095,2024-07-23,0
25873,Haval F7,2022,131428,248832,2024-02-26,0
25874,KIA Spectra,2024,26942,17698,2024-09-28,0
25875,Volkswagen Polo,2024,1947,22026,2024-02-11,0
25876,Geely Tugella,2024,16615,8627,2024-12-06,0
25877,Nissan Note,2016,305535,595620,2024-06-21,0
25878,Hyundai Solaris,2022,115260,251956,2024-08-17,0
25879,Chevrolet Lacetti,2013,274845,693980,2024-06-30,0
25880,EXEED TXL,2023,70247,105851,2024-06-10,0
25881,Chevrolet Lacetti,2021,184986,381105,2024-04-02,0
25882,Kia Rio,2024,5104,24637,2024-01-04,0
25883,Hyundai Solaris,2023,52721,107388,2024-01-08,0
25884,Kia Rio,2013,382190,687865,2024-06-22,0
25885,Kia Rio,2013,272470,650285,2024-10-23,0
25886,Volkswagen Polo,2015,271865,570800,2024-08-25,0
25887,Chery Tiggo 7 Pro,2022,133040,243876,2024-08-20,0
25888,Chevrolet Lacetti,2021,206829,382236,2024-08-12,0
25889,KIA Spectra,2021,226824,307110,2024-02-19,0
25890,Renault Logan,2021,188706,449151,2024-05-26,0
25891,Renault Logan,2022,146812,225250,2024-09-08,0
25892,Nissan Note,2015,340840,540865,2024-08-16,0
25893,Renault Logan,2015,397085,673705,2024-08-07,0
25894,Chery Tiggo 7 Pro,2018,264270,653295,2024-06-22,0
25895,Volkswagen Polo,2016,297180,536545,2024-09-24,0
25896,Geely Tugella,2022,125918,229820,2024-03-07,0
25897,Chevrolet Lacetti,2016,295385,542800,2024-09-05,0
25898,EXEED TXL,2021,155994,312999,2024-10-07,0
25899,EXEED TXL,2024,7510,26021,2024-05-13,0
25900,Kia Rio,2019,369830,706430,2024-07-26,0
25901,Chery Tiggo 4,2024,2877,12463,2024-09-24,0
25902,Chevrolet Aveo,2021,156612,312213,2024-03-31,0
25903,Hyundai Accent,2021,236595,373794,2024-07-03,0
25904,Haval F7,2017,336615,600470,2024-07-11,0
25905,Chevrolet Aveo,2020,248584,498140,2024-06-29,0
25906,Hyundai Solaris,2023,79845,120496,2024-05-20,0
25907,Chevrolet Lacetti,2023,54664,143649,2024-03-06,0
25908,LADA (VAZ) Vesta,2015,293150,558625,2024-08-09,0
25909,Kia Rio,2020,290028,410668,2024-05-23,0
25910,Hyundai Solaris,2022,122726,243452,2024-05-14,0
25911,LADA (VAZ) Vesta,2014,369750,683510,2024-07-26,0
25912,Chevrolet Lacetti,2016,389270,594155,2024-11-03,0
25913,Chery Tiggo 4,2021,168918,393852,2024-06-06,0
25914,Geely Tugella,2015,350820,592575,2024-12-05,0
25915,KIA Spectra,2020,240992,417456,2024-06-21,0
25916,Chery Tiggo 7 Pro,2024,14984,14285,2024-01-01,0
25917,Chery Tiggo 4,2015,359705,509330,2024-07-11,0
25918,EXEED TXL,2013,351995,545225,2024-08-26,0
25919,LADA (VAZ) Vesta,2013,279445,568275,2024-07-01,0
25920,Geely Tugella,2020,260320,516628,2024-08-04,0
25921,Chevrolet Lacetti,2019,392810,500925,2024-11-24,0
25922,Nissan Note,2019,270100,648060,2024-06-24,0
25923,Chevrolet Lacetti,2015,399185,650185,2024-08-28,0
25924,Renault Logan,2015,344835,627750,2024-11-02,0
25925,Chevrolet Aveo,2018,353585,728995,2024-11-23,0
25926,Hyundai Accent,2019,337685,641715,2024-06-26,0
25927,Volkswagen Polo,2022,153252,299600,2024-06-05,0
25928,Renault Logan,2018,348340,561595,2024-09-12,0
25929,Volkswagen Polo,2021,154320,366900,2024-05-08,0
25930,Renault Logan,2023,64865,121317,2024-02-19,0
25931,Chevrolet Aveo,2021,193113,415965,2024-07-03,0
25932,Chery Tiggo 4,2017,273470,741335,2024-11-06,0
25933,Nissan Note,2023,68007,142727,2024-01-27,0
25934,Chery Tiggo 7 Pro,2017,263765,509565,2024-06-29,0
25935,Hyundai Solaris,2017,309565,681460,2024-07-23,0
25936,Renault Logan,2021,196386,350547,2024-07-03,0
25937,Hyundai Accent,2023,58769,128088,2024-08-19,0
25938,Volkswagen Polo,2024,8037,13480,2024-10-31,0
25939,Chevrolet Lacetti,2020,289116,401828,2024-07-04,0
25940,Haval F7,2021,150987,406497,2024-08-23,0
25941,Hyundai Accent,2021,167076,322926,2024-07-28,0
25942,Chery Tiggo 7 Pro,2014,318875,709965,2024-06-22,0
25943,Chery Tiggo 4,2022,140726,265472,2024-01-30,0
25944,Volkswagen Polo,2020,265272,513296,2024-11-21,0
25945,Geely Tugella,2023,79236,137539,2024-07-20,0
25946,EXEED TXL,2017,273370,509070,2024-11-27,0
25947,Volkswagen Polo,2020,211860,452304,2024-05-12,0
25948,Nissan Note,2013,379180,658335,2024-08-19,0
25949,Renault Logan,2020,312124,523208,2024-05-21,0
25950,EXEED TXL,2020,276656,433332,2024-02-15,0
25951,KIA Spectra,2020,200524,583380,2024-01-23,0
25952,Hyundai Solaris,2019,271440,522225,2024-09-21,0
25953,Chery Tiggo 4,2022,158366,211854,2024-07-18,0
25954,Geely Tugella,2023,69840,100560,2024-06-09,0
25955,Chery Tiggo 4,2017,303080,657820,2024-09-22,0
25956,Chevrolet Aveo,2014,388065,505405,2024-07-02,0
25957,Volkswagen Polo,2020,306684,412836,2024-11-05,0
25958,Geely Tugella,2015,361620,509725,2024-06-22,0
25959,Nissan Note,2020,269880,537992,2024-11-09,0
25960,Nissan Note,2016,268625,602365,2024-11-02,0
25961,Chery Tiggo 7 Pro,2019,306710,526195,2024-07-12,0
25962,Kia Rio,2023,67084,134198,2024-05-01,0
25963,Geely Tugella,2022,159072,295424,2024-01-22,0
25964,Renault Logan,2020,243608,450212,2024-10-27,0
25965,Chery Tiggo 7 Pro,2021,235296,325428,2024-12-09,0
25966,KIA Spectra,2020,280088,489680,2024-04-16,0
25967,Chery Tiggo 7 Pro,2023,63011,110526,2024-08-11,0
25968,KIA Spectra,2020,234760,574732,2024-01-02,0
25969,Hyundai Accent,2020,233208,551296,2024-09-21,0
25970,Kia Rio,2024,12866,9783,2023-12-23,0
25971,Chery Tiggo 7 Pro,2023,69026,147723,2024-10-24,0
25972,Renault Logan,2024,4762,13013,2023-12-21,0
25973,Chevrolet Aveo,2022,142742,294002,2024-09-17,0
25974,Volkswagen Polo,2020,298008,427268,2024-08-26,0
25975,Hyundai Accent,2015,314020,746765,2024-10-18,0
25976,Hyundai Accent,2022,141578,298064,2024-07-14,0
25977,Kia Rio,2020,300044,482692,2024-09-21,0
25978,Renault Logan,2013,260105,533785,2024-08-12,0
25979,LADA (VAZ) Vesta,2018,385760,574190,2024-11-03,0
25980,Chevrolet Aveo,2021,228015,437151,2024-09-25,0
25981,Haval F7,2019,264780,517345,2024-07-31,0
25982,EXEED TXL,2024,7243,3486,2024-08-20,0
25983,KIA Spectra,2015,358085,673410,2024-11-30,0
25984,Geely Tugella,2018,383860,598215,2024-09-13,0
25985,Chevrolet Lacetti,2014,361580,599185,2024-07-12,0
25986,Haval F7,2020,242144,403216,2024-05-06,0
25987,Kia Rio,2015,274725,520560,2024-12-14,0
25988,Chevrolet Aveo,2018,264345,652385,2024-07-21,0
25989,LADA (VAZ) Vesta,2023,74819,142386,2024-06-16,0
25990,Renault Logan,2021,169812,400437,2024-05-14,0
25991,Geely Tugella,2016,290760,504725,2024-09-29,0
25992,Renault Logan,2014,265085,516865,2024-07-23,0
25993,Chery Tiggo 7 Pro,2022,103856,244504,2024-07-25,0
25994,Hyundai Solaris,2021,212532,357024,2024-11-10,0
25995,Hyundai Solaris,2018,321250,651945,2024-07-03,0
25996,LADA (VAZ) Vesta,2019,293315,652155,2024-08-20,0
25997,Nissan Note,2013,308410,573430,2024-12-14,0
25998,LADA (VAZ) Vesta,2020,209852,425304,2024-09-30,0
25999,Hyundai Solaris,2023,51785,131924,2024-10-24,0
26000,KIA Spectra,2021,150045,439197,2024-03-20,0
26001,EXEED TXL,2019,371830,632785,2024-07-15,0
26002,Hyundai Solaris,2024,6886,6926,2024-01-23,0
26003,Haval F7,2014,324785,624635,2024-10-30,0
26004,Hyundai Accent,2024,26858,19026,2024-06-15,0
26005,Kia Rio,2020,266700,522504,2024-07-17,0
26006,Geely Tugella,2024,3165,15316,2024-11-28,0
26007,Haval F7,2017,287570,623440,2024-10-06,0
26008,KIA Spectra,2017,263120,613690,2024-08-29,0
26009,Haval F7,2024,20961,19583,2024-05-20,0
26010,Hyundai Accent,2022,126004,217772,2024-01-30,0
26011,Chery Tiggo 7 Pro,2024,23244,12586,2024-05-20,0
26012,Kia Rio,2021,151239,306717,2024-07-09,0
26013,Geely Tugella,2017,361650,581385,2024-09-03,0
26014,KIA Spectra,2018,356480,511310,2024-06-28,0
26015,Hyundai Accent,2017,319190,572465,2024-07-16,0
26016,EXEED TXL,2018,293965,664355,2024-10-04,0
26017,EXEED TXL,2024,23339,24581,2024-08-29,0
26018,Chery Tiggo 4,2015,283130,603080,2024-11-14,0
26019,Chevrolet Lacetti,2019,266860,730905,2024-10-06,0
26020,Hyundai Solaris,2021,239850,337887,2024-05-16,0
26021,Volkswagen Polo,2017,280060,667085,2024-07-07,0
26022,Hyundai Solaris,2017,384350,549515,2024-10-29,0
26023,Kia Rio,2018,284415,602435,2024-08-18,0
26024,Kia Rio,2016,361830,676585,2024-07-18,0
26025,LADA (VAZ) Vesta,2018,382420,593995,2024-08-13,0
26026,KIA Spectra,2024,26361,15862,2024-06-16,0
26027,Chevrolet Lacetti,2019,383375,552410,2024-06-24,0
26028,Kia Rio,2022,126336,214120,2024-04-09,0
